"Notes"	"State"	"State Code"	"Year"	"Year Code"	"MCD - Drug/Alcohol Induced"	"MCD - Drug/Alcohol Induced Code"	Deaths	Population	Crude Rate
"Total"	"New Hampshire"	"33"	"2012"	"2012"			13059	1320718	988.8
	"New Hampshire"	"33"	"2013"	"2013"	"Drug-induced causes"	"D"	2246	1323459	169.7
	"New Hampshire"	"33"	"2013"	"2013"	"Alcohol-induced causes"	"A"	302	1323459	22.8
	"New Hampshire"	"33"	"2013"	"2013"	"All other non-drug and non-alcohol causes"	"O"	10836	1323459	818.8
"Total"	"New Hampshire"	"33"	"2013"	"2013"			13384	1323459	1011.3
	"New Hampshire"	"33"	"2014"	"2014"	"Drug-induced causes"	"D"	2380	1326813	179.4
	"New Hampshire"	"33"	"2014"	"2014"	"Alcohol-induced causes"	"A"	313	1326813	23.6
	"New Hampshire"	"33"	"2014"	"2014"	"All other non-drug and non-alcohol causes"	"O"	11452	1326813	863.1
"Total"	"New Hampshire"	"33"	"2014"	"2014"			14145	1326813	1066.1
	"New Hampshire"	"33"	"2015"	"2015"	"Drug-induced causes"	"D"	2499	1330608	187.8
	"New Hampshire"	"33"	"2015"	"2015"	"Alcohol-induced causes"	"A"	330	1330608	24.8
	"New Hampshire"	"33"	"2015"	"2015"	"All other non-drug and non-alcohol causes"	"O"	11914	1330608	895.4
"Total"	"New Hampshire"	"33"	"2015"	"2015"			14743	1330608	1108.0
	"New Hampshire"	"33"	"2016"	"2016"	"Drug-induced causes"	"D"	2556	1334795	191.5
	"New Hampshire"	"33"	"2016"	"2016"	"Alcohol-induced causes"	"A"	338	1334795	25.3
	"New Hampshire"	"33"	"2016"	"2016"	"All other non-drug and non-alcohol causes"	"O"	12145	1334795	909.9
"Total"	"New Hampshire"	"33"	"2016"	"2016"			15039	1334795	1126.7
	"New Hampshire"	"33"	"2017"	"2017"	"Drug-induced causes"	"D"	2634	1342795	196.2
	"New Hampshire"	"33"	"2017"	"2017"	"Alcohol-induced causes"	"A"	363	1342795	27.0
	"New Hampshire"	"33"	"2017"	"2017"	"All other non-drug and non-alcohol causes"	"O"	12463	1342795	928.1
"Total"	"New Hampshire"	"33"	"2017"	"2017"			15460	1342795	1151.3
	"New Hampshire"	"33"	"2018"	"2018"	"Drug-induced causes"	"D"	2555	1356458	188.4
	"New Hampshire"	"33"	"2018"	"2018"	"Alcohol-induced causes"	"A"	433	1356458	31.9
	"New Hampshire"	"33"	"2018"	"2018"	"All other non-drug and non-alcohol causes"	"O"	12721	1356458	937.8
"Total"	"New Hampshire"	"33"	"2018"	"2018"			15709	1356458	1158.1
"Total"	"New Hampshire"	"33"					251212	26074106	963.5
	"New Jersey"	"34"	"1999"	"1999"	"Drug-induced causes"	"D"	1078	8359592	12.9
	"New Jersey"	"34"	"1999"	"1999"	"Alcohol-induced causes"	"A"	878	8359592	10.5
	"New Jersey"	"34"	"1999"	"1999"	"All other non-drug and non-alcohol causes"	"O"	73817	8359592	883.0
"Total"	"New Jersey"	"34"	"1999"	"1999"			75773	8359592	906.4
	"New Jersey"	"34"	"2000"	"2000"	"Drug-induced causes"	"D"	1192	8414350	14.2
	"New Jersey"	"34"	"2000"	"2000"	"Alcohol-induced causes"	"A"	1009	8414350	12.0
	"New Jersey"	"34"	"2000"	"2000"	"All other non-drug and non-alcohol causes"	"O"	74624	8414350	886.9
"Total"	"New Jersey"	"34"	"2000"	"2000"			76825	8414350	913.0
	"New Jersey"	"34"	"2001"	"2001"	"Drug-induced causes"	"D"	1158	8492671	13.6
	"New Jersey"	"34"	"2001"	"2001"	"Alcohol-induced causes"	"A"	958	8492671	11.3
	"New Jersey"	"34"	"2001"	"2001"	"All other non-drug and non-alcohol causes"	"O"	74566	8492671	878.0
"Total"	"New Jersey"	"34"	"2001"	"2001"			76682	8492671	902.9
	"New Jersey"	"34"	"2002"	"2002"	"Drug-induced causes"	"D"	1258	8552643	14.7
	"New Jersey"	"34"	"2002"	"2002"	"Alcohol-induced causes"	"A"	944	8552643	11.0
	"New Jersey"	"34"	"2002"	"2002"	"All other non-drug and non-alcohol causes"	"O"	73874	8552643	863.8
"Total"	"New Jersey"	"34"	"2002"	"2002"			76076	8552643	889.5
	"New Jersey"	"34"	"2003"	"2003"	"Drug-induced causes"	"D"	1219	8601402	14.2
	"New Jersey"	"34"	"2003"	"2003"	"Alcohol-induced causes"	"A"	859	8601402	10.0
	"New Jersey"	"34"	"2003"	"2003"	"All other non-drug and non-alcohol causes"	"O"	73572	8601402	855.3
"Total"	"New Jersey"	"34"	"2003"	"2003"			75650	8601402	879.5
	"New Jersey"	"34"	"2004"	"2004"	"Drug-induced causes"	"D"	8756	8634561	101.4
	"New Jersey"	"34"	"2004"	"2004"	"Alcohol-induced causes"	"A"	845	8634561	9.8
	"New Jersey"	"34"	"2004"	"2004"	"All other non-drug and non-alcohol causes"	"O"	71216	8634561	824.8
"Total"	"New Jersey"	"34"	"2004"	"2004"			80817	8634561	936.0
	"New Jersey"	"34"	"2005"	"2005"	"Drug-induced causes"	"D"	10651	8651974	123.1
	"New Jersey"	"34"	"2005"	"2005"	"Alcohol-induced causes"	"A"	952	8651974	11.0
	"New Jersey"	"34"	"2005"	"2005"	"All other non-drug and non-alcohol causes"	"O"	71821	8651974	830.1
"Total"	"New Jersey"	"34"	"2005"	"2005"			83424	8651974	964.2
	"New Jersey"	"34"	"2006"	"2006"	"Drug-induced causes"	"D"	10597	8661679	122.3
	"New Jersey"	"34"	"2006"	"2006"	"Alcohol-induced causes"	"A"	880	8661679	10.2
	"New Jersey"	"34"	"2006"	"2006"	"All other non-drug and non-alcohol causes"	"O"	70180	8661679	810.2
"Total"	"New Jersey"	"34"	"2006"	"2006"			81657	8661679	942.7
	"New Jersey"	"34"	"2007"	"2007"	"Drug-induced causes"	"D"	10357	8677885	119.3
	"New Jersey"	"34"	"2007"	"2007"	"Alcohol-induced causes"	"A"	752	8677885	8.7
	"New Jersey"	"34"	"2007"	"2007"	"All other non-drug and non-alcohol causes"	"O"	69510	8677885	801.0
"Total"	"New Jersey"	"34"	"2007"	"2007"			80619	8677885	929.0
	"New Jersey"	"34"	"2008"	"2008"	"Drug-induced causes"	"D"	10689	8711090	122.7
	"New Jersey"	"34"	"2008"	"2008"	"Alcohol-induced causes"	"A"	880	8711090	10.1
	"New Jersey"	"34"	"2008"	"2008"	"All other non-drug and non-alcohol causes"	"O"	69841	8711090	801.7
"Total"	"New Jersey"	"34"	"2008"	"2008"			81410	8711090	934.6
	"New Jersey"	"34"	"2009"	"2009"	"Drug-induced causes"	"D"	9862	8755602	112.6
	"New Jersey"	"34"	"2009"	"2009"	"Alcohol-induced causes"	"A"	603	8755602	6.9
	"New Jersey"	"34"	"2009"	"2009"	"All other non-drug and non-alcohol causes"	"O"	68117	8755602	778.0
"Total"	"New Jersey"	"34"	"2009"	"2009"			78582	8755602	897.5
	"New Jersey"	"34"	"2010"	"2010"	"Drug-induced causes"	"D"	10378	8791894	118.0
	"New Jersey"	"34"	"2010"	"2010"	"Alcohol-induced causes"	"A"	983	8791894	11.2
	"New Jersey"	"34"	"2010"	"2010"	"All other non-drug and non-alcohol causes"	"O"	69362	8791894	788.9
"Total"	"New Jersey"	"34"	"2010"	"2010"			80723	8791894	918.2
	"New Jersey"	"34"	"2011"	"2011"	"Drug-induced causes"	"D"	10403	8821155	117.9
	"New Jersey"	"34"	"2011"	"2011"	"Alcohol-induced causes"	"A"	1076	8821155	12.2
	"New Jersey"	"34"	"2011"	"2011"	"All other non-drug and non-alcohol causes"	"O"	70416	8821155	798.3
"Total"	"New Jersey"	"34"	"2011"	"2011"			81895	8821155	928.4
	"New Jersey"	"34"	"2012"	"2012"	"Drug-induced causes"	"D"	10403	8864590	117.4
	"New Jersey"	"34"	"2012"	"2012"	"Alcohol-induced causes"	"A"	1058	8864590	11.9
	"New Jersey"	"34"	"2012"	"2012"	"All other non-drug and non-alcohol causes"	"O"	70408	8864590	794.3
"Total"	"New Jersey"	"34"	"2012"	"2012"			81869	8864590	923.6
	"New Jersey"	"34"	"2013"	"2013"	"Drug-induced causes"	"D"	10674	8899339	119.9
	"New Jersey"	"34"	"2013"	"2013"	"Alcohol-induced causes"	"A"	1099	8899339	12.3
	"New Jersey"	"34"	"2013"	"2013"	"All other non-drug and non-alcohol causes"	"O"	71288	8899339	801.0
"Total"	"New Jersey"	"34"	"2013"	"2013"			83061	8899339	933.3
	"New Jersey"	"34"	"2014"	"2014"	"Drug-induced causes"	"D"	10224	8938175	114.4
	"New Jersey"	"34"	"2014"	"2014"	"Alcohol-induced causes"	"A"	1169	8938175	13.1
	"New Jersey"	"34"	"2014"	"2014"	"All other non-drug and non-alcohol causes"	"O"	71180	8938175	796.4
"Total"	"New Jersey"	"34"	"2014"	"2014"			82573	8938175	923.8
	"New Jersey"	"34"	"2015"	"2015"	"Drug-induced causes"	"D"	10207	8958013	113.9
	"New Jersey"	"34"	"2015"	"2015"	"Alcohol-induced causes"	"A"	1095	8958013	12.2
	"New Jersey"	"34"	"2015"	"2015"	"All other non-drug and non-alcohol causes"	"O"	72118	8958013	805.1
"Total"	"New Jersey"	"34"	"2015"	"2015"			83420	8958013	931.2
	"New Jersey"	"34"	"2016"	"2016"	"Drug-induced causes"	"D"	10725	8944469	119.9
	"New Jersey"	"34"	"2016"	"2016"	"Alcohol-induced causes"	"A"	1325	8944469	14.8
	"New Jersey"	"34"	"2016"	"2016"	"All other non-drug and non-alcohol causes"	"O"	72992	8944469	816.1
"Total"	"New Jersey"	"34"	"2016"	"2016"			85042	8944469	950.8
	"New Jersey"	"34"	"2017"	"2017"	"Drug-induced causes"	"D"	11391	9005644	126.5
	"New Jersey"	"34"	"2017"	"2017"	"Alcohol-induced causes"	"A"	1506	9005644	16.7
	"New Jersey"	"34"	"2017"	"2017"	"All other non-drug and non-alcohol causes"	"O"	74695	9005644	829.4
"Total"	"New Jersey"	"34"	"2017"	"2017"			87592	9005644	972.6
	"New Jersey"	"34"	"2018"	"2018"	"Drug-induced causes"	"D"	11561	8908520	129.8
	"New Jersey"	"34"	"2018"	"2018"	"Alcohol-induced causes"	"A"	1707	8908520	19.2
	"New Jersey"	"34"	"2018"	"2018"	"All other non-drug and non-alcohol causes"	"O"	75565	8908520	848.2
"Total"	"New Jersey"	"34"	"2018"	"2018"			88833	8908520	997.2
"Total"	"New Jersey"	"34"					1622523	174645248	929.0
	"New Mexico"	"35"	"1999"	"1999"	"Drug-induced causes"	"D"	382	1808082	21.1
	"New Mexico"	"35"	"1999"	"1999"	"Alcohol-induced causes"	"A"	499	1808082	27.6
	"New Mexico"	"35"	"1999"	"1999"	"All other non-drug and non-alcohol causes"	"O"	13603	1808082	752.3
"Total"	"New Mexico"	"35"	"1999"	"1999"			14484	1808082	801.1
	"New Mexico"	"35"	"2000"	"2000"	"Drug-induced causes"	"D"	459	1819046	25.2
	"New Mexico"	"35"	"2000"	"2000"	"Alcohol-induced causes"	"A"	557	1819046	30.6
	"New Mexico"	"35"	"2000"	"2000"	"All other non-drug and non-alcohol causes"	"O"	13327	1819046	732.6
"Total"	"New Mexico"	"35"	"2000"	"2000"			14343	1819046	788.5
	"New Mexico"	"35"	"2001"	"2001"	"Drug-induced causes"	"D"	438	1831690	23.9
	"New Mexico"	"35"	"2001"	"2001"	"Alcohol-induced causes"	"A"	555	1831690	30.3
	"New Mexico"	"35"	"2001"	"2001"	"All other non-drug and non-alcohol causes"	"O"	14048	1831690	766.9
"Total"	"New Mexico"	"35"	"2001"	"2001"			15041	1831690	821.2
	"New Mexico"	"35"	"2002"	"2002"	"Drug-induced causes"	"D"	479	1855309	25.8
	"New Mexico"	"35"	"2002"	"2002"	"Alcohol-induced causes"	"A"	544	1855309	29.3
	"New Mexico"	"35"	"2002"	"2002"	"All other non-drug and non-alcohol causes"	"O"	14266	1855309	768.9
"Total"	"New Mexico"	"35"	"2002"	"2002"			15289	1855309	824.1
	"New Mexico"	"35"	"2003"	"2003"	"Drug-induced causes"	"D"	647	1877574	34.5
	"New Mexico"	"35"	"2003"	"2003"	"Alcohol-induced causes"	"A"	599	1877574	31.9
	"New Mexico"	"35"	"2003"	"2003"	"All other non-drug and non-alcohol causes"	"O"	14704	1877574	783.1
"Total"	"New Mexico"	"35"	"2003"	"2003"			15950	1877574	849.5
	"New Mexico"	"35"	"2004"	"2004"	"Drug-induced causes"	"D"	565	1903808	29.7
	"New Mexico"	"35"	"2004"	"2004"	"Alcohol-induced causes"	"A"	563	1903808	29.6
	"New Mexico"	"35"	"2004"	"2004"	"All other non-drug and non-alcohol causes"	"O"	14188	1903808	745.2
"Total"	"New Mexico"	"35"	"2004"	"2004"			15316	1903808	804.5
	"New Mexico"	"35"	"2005"	"2005"	"Drug-induced causes"	"D"	664	1932274	34.4
	"New Mexico"	"35"	"2005"	"2005"	"Alcohol-induced causes"	"A"	602	1932274	31.2
	"New Mexico"	"35"	"2005"	"2005"	"All other non-drug and non-alcohol causes"	"O"	14864	1932274	769.2
"Total"	"New Mexico"	"35"	"2005"	"2005"			16130	1932274	834.8
	"New Mexico"	"35"	"2006"	"2006"	"Drug-induced causes"	"D"	2507	1962137	127.8
	"New Mexico"	"35"	"2006"	"2006"	"Alcohol-induced causes"	"A"	660	1962137	33.6
	"New Mexico"	"35"	"2006"	"2006"	"All other non-drug and non-alcohol causes"	"O"	15171	1962137	773.2
"Total"	"New Mexico"	"35"	"2006"	"2006"			18338	1962137	934.6
	"New Mexico"	"35"	"2007"	"2007"	"Drug-induced causes"	"D"	2638	1990070	132.6
	"New Mexico"	"35"	"2007"	"2007"	"Alcohol-induced causes"	"A"	726	1990070	36.5
	"New Mexico"	"35"	"2007"	"2007"	"All other non-drug and non-alcohol causes"	"O"	15356	1990070	771.6
"Total"	"New Mexico"	"35"	"2007"	"2007"			18720	1990070	940.7
	"New Mexico"	"35"	"2008"	"2008"	"Drug-induced causes"	"D"	2787	2010662	138.6
	"New Mexico"	"35"	"2008"	"2008"	"Alcohol-induced causes"	"A"	769	2010662	38.2
	"New Mexico"	"35"	"2008"	"2008"	"All other non-drug and non-alcohol causes"	"O"	15869	2010662	789.2
"Total"	"New Mexico"	"35"	"2008"	"2008"			19425	2010662	966.1
	"New Mexico"	"35"	"2009"	"2009"	"Drug-induced causes"	"D"	2550	2036802	125.2
	"New Mexico"	"35"	"2009"	"2009"	"Alcohol-induced causes"	"A"	770	2036802	37.8
	"New Mexico"	"35"	"2009"	"2009"	"All other non-drug and non-alcohol causes"	"O"	15515	2036802	761.7
"Total"	"New Mexico"	"35"	"2009"	"2009"			18835	2036802	924.7
	"New Mexico"	"35"	"2010"	"2010"	"Drug-induced causes"	"D"	2839	2059179	137.9
	"New Mexico"	"35"	"2010"	"2010"	"Alcohol-induced causes"	"A"	743	2059179	36.1
	"New Mexico"	"35"	"2010"	"2010"	"All other non-drug and non-alcohol causes"	"O"	15804	2059179	767.5
"Total"	"New Mexico"	"35"	"2010"	"2010"			19386	2059179	941.4
	"New Mexico"	"35"	"2011"	"2011"	"Drug-induced causes"	"D"	2814	2082224	135.1
	"New Mexico"	"35"	"2011"	"2011"	"Alcohol-induced causes"	"A"	817	2082224	39.2
	"New Mexico"	"35"	"2011"	"2011"	"All other non-drug and non-alcohol causes"	"O"	16300	2082224	782.8
"Total"	"New Mexico"	"35"	"2011"	"2011"			19931	2082224	957.2
	"New Mexico"	"35"	"2012"	"2012"	"Drug-induced causes"	"D"	2721	2085538	130.5
	"New Mexico"	"35"	"2012"	"2012"	"Alcohol-induced causes"	"A"	873	2085538	41.9
	"New Mexico"	"35"	"2012"	"2012"	"All other non-drug and non-alcohol causes"	"O"	16561	2085538	794.1
"Total"	"New Mexico"	"35"	"2012"	"2012"			20155	2085538	966.4
	"New Mexico"	"35"	"2013"	"2013"	"Drug-induced causes"	"D"	2728	2085287	130.8
	"New Mexico"	"35"	"2013"	"2013"	"Alcohol-induced causes"	"A"	864	2085287	41.4
	"New Mexico"	"35"	"2013"	"2013"	"All other non-drug and non-alcohol causes"	"O"	16656	2085287	798.7
"Total"	"New Mexico"	"35"	"2013"	"2013"			20248	2085287	971.0
	"New Mexico"	"35"	"2014"	"2014"	"Drug-induced causes"	"D"	2842	2085572	136.3
	"New Mexico"	"35"	"2014"	"2014"	"Alcohol-induced causes"	"A"	874	2085572	41.9
	"New Mexico"	"35"	"2014"	"2014"	"All other non-drug and non-alcohol causes"	"O"	17412	2085572	834.9
"Total"	"New Mexico"	"35"	"2014"	"2014"			21128	2085572	1013.1
	"New Mexico"	"35"	"2015"	"2015"	"Drug-induced causes"	"D"	2838	2085109	136.1
	"New Mexico"	"35"	"2015"	"2015"	"Alcohol-induced causes"	"A"	1018	2085109	48.8
	"New Mexico"	"35"	"2015"	"2015"	"All other non-drug and non-alcohol causes"	"O"	17472	2085109	837.9
"Total"	"New Mexico"	"35"	"2015"	"2015"			21328	2085109	1022.9
	"New Mexico"	"35"	"2016"	"2016"	"Drug-induced causes"	"D"	2817	2081015	135.4
	"New Mexico"	"35"	"2016"	"2016"	"Alcohol-induced causes"	"A"	1085	2081015	52.1
	"New Mexico"	"35"	"2016"	"2016"	"All other non-drug and non-alcohol causes"	"O"	18138	2081015	871.6
"Total"	"New Mexico"	"35"	"2016"	"2016"			22040	2081015	1059.1
	"New Mexico"	"35"	"2017"	"2017"	"Drug-induced causes"	"D"	2958	2088070	141.7
	"New Mexico"	"35"	"2017"	"2017"	"Alcohol-induced causes"	"A"	1002	2088070	48.0
	"New Mexico"	"35"	"2017"	"2017"	"All other non-drug and non-alcohol causes"	"O"	18453	2088070	883.7
"Total"	"New Mexico"	"35"	"2017"	"2017"			22413	2088070	1073.4
	"New Mexico"	"35"	"2018"	"2018"	"Drug-induced causes"	"D"	3053	2095428	145.7
	"New Mexico"	"35"	"2018"	"2018"	"Alcohol-induced causes"	"A"	1119	2095428	53.4
	"New Mexico"	"35"	"2018"	"2018"	"All other non-drug and non-alcohol causes"	"O"	18769	2095428	895.7
"Total"	"New Mexico"	"35"	"2018"	"2018"			22941	2095428	1094.8
"Total"	"New Mexico"	"35"					371441	39774876	933.9
	"New York"	"36"	"1999"	"1999"	"Drug-induced causes"	"D"	2047	18882725	10.8
	"New York"	"36"	"1999"	"1999"	"Alcohol-induced causes"	"A"	2085	18882725	11.0
	"New York"	"36"	"1999"	"1999"	"All other non-drug and non-alcohol causes"	"O"	159622	18882725	845.3
"Total"	"New York"	"36"	"1999"	"1999"			163754	18882725	867.2
	"New York"	"36"	"2000"	"2000"	"Drug-induced causes"	"D"	2278	18976457	12.0
	"New York"	"36"	"2000"	"2000"	"Alcohol-induced causes"	"A"	1970	18976457	10.4
	"New York"	"36"	"2000"	"2000"	"All other non-drug and non-alcohol causes"	"O"	157952	18976457	832.4
"Total"	"New York"	"36"	"2000"	"2000"			162200	18976457	854.7
	"New York"	"36"	"2001"	"2001"	"Drug-induced causes"	"D"	2832	19082838	14.8
	"New York"	"36"	"2001"	"2001"	"Alcohol-induced causes"	"A"	2106	19082838	11.0
	"New York"	"36"	"2001"	"2001"	"All other non-drug and non-alcohol causes"	"O"	158959	19082838	833.0
"Total"	"New York"	"36"	"2001"	"2001"			163897	19082838	858.9
	"New York"	"36"	"2002"	"2002"	"Drug-induced causes"	"D"	2699	19137800	14.1
	"New York"	"36"	"2002"	"2002"	"Alcohol-induced causes"	"A"	2091	19137800	10.9
	"New York"	"36"	"2002"	"2002"	"All other non-drug and non-alcohol causes"	"O"	157824	19137800	824.7
"Total"	"New York"	"36"	"2002"	"2002"			162614	19137800	849.7
	"New York"	"36"	"2003"	"2003"	"Drug-induced causes"	"D"	14525	19175939	75.7
	"New York"	"36"	"2003"	"2003"	"Alcohol-induced causes"	"A"	2049	19175939	10.7
	"New York"	"36"	"2003"	"2003"	"All other non-drug and non-alcohol causes"	"O"	155577	19175939	811.3
"Total"	"New York"	"36"	"2003"	"2003"			172151	19175939	897.7
	"New York"	"36"	"2004"	"2004"	"Drug-induced causes"	"D"	15831	19171567	82.6
	"New York"	"36"	"2004"	"2004"	"Alcohol-induced causes"	"A"	1988	19171567	10.4
	"New York"	"36"	"2004"	"2004"	"All other non-drug and non-alcohol causes"	"O"	152397	19171567	794.9
"Total"	"New York"	"36"	"2004"	"2004"			170216	19171567	887.9
	"New York"	"36"	"2005"	"2005"	"Drug-induced causes"	"D"	16397	19132610	85.7
	"New York"	"36"	"2005"	"2005"	"Alcohol-induced causes"	"A"	1864	19132610	9.7
	"New York"	"36"	"2005"	"2005"	"All other non-drug and non-alcohol causes"	"O"	152117	19132610	795.1
"Total"	"New York"	"36"	"2005"	"2005"			170378	19132610	890.5
	"New York"	"36"	"2006"	"2006"	"Drug-induced causes"	"D"	16961	19104631	88.8
	"New York"	"36"	"2006"	"2006"	"Alcohol-induced causes"	"A"	2081	19104631	10.9
	"New York"	"36"	"2006"	"2006"	"All other non-drug and non-alcohol causes"	"O"	148489	19104631	777.2
"Total"	"New York"	"36"	"2006"	"2006"			167531	19104631	876.9
	"New York"	"36"	"2007"	"2007"	"Drug-induced causes"	"D"	17402	19132335	91.0
	"New York"	"36"	"2007"	"2007"	"Alcohol-induced causes"	"A"	2209	19132335	11.5
	"New York"	"36"	"2007"	"2007"	"All other non-drug and non-alcohol causes"	"O"	147359	19132335	770.2
"Total"	"New York"	"36"	"2007"	"2007"			166970	19132335	872.7
	"New York"	"36"	"2008"	"2008"	"Drug-induced causes"	"D"	17669	19212436	92.0
	"New York"	"36"	"2008"	"2008"	"Alcohol-induced causes"	"A"	2335	19212436	12.2
	"New York"	"36"	"2008"	"2008"	"All other non-drug and non-alcohol causes"	"O"	148380	19212436	772.3
"Total"	"New York"	"36"	"2008"	"2008"			168384	19212436	876.4
	"New York"	"36"	"2009"	"2009"	"Drug-induced causes"	"D"	17501	19307066	90.6
	"New York"	"36"	"2009"	"2009"	"Alcohol-induced causes"	"A"	2410	19307066	12.5
	"New York"	"36"	"2009"	"2009"	"All other non-drug and non-alcohol causes"	"O"	146119	19307066	756.8
"Total"	"New York"	"36"	"2009"	"2009"			166030	19307066	859.9
	"New York"	"36"	"2010"	"2010"	"Drug-induced causes"	"D"	17678	19378102	91.2
	"New York"	"36"	"2010"	"2010"	"Alcohol-induced causes"	"A"	2354	19378102	12.1
	"New York"	"36"	"2010"	"2010"	"All other non-drug and non-alcohol causes"	"O"	146045	19378102	753.7
"Total"	"New York"	"36"	"2010"	"2010"			166077	19378102	857.0
	"New York"	"36"	"2011"	"2011"	"Drug-induced causes"	"D"	18339	19465197	94.2
	"New York"	"36"	"2011"	"2011"	"Alcohol-induced causes"	"A"	2571	19465197	13.2
	"New York"	"36"	"2011"	"2011"	"All other non-drug and non-alcohol causes"	"O"	148803	19465197	764.5
"Total"	"New York"	"36"	"2011"	"2011"			169713	19465197	871.9
	"New York"	"36"	"2012"	"2012"	"Drug-induced causes"	"D"	18598	19570261	95.0
	"New York"	"36"	"2012"	"2012"	"Alcohol-induced causes"	"A"	2737	19570261	14.0
	"New York"	"36"	"2012"	"2012"	"All other non-drug and non-alcohol causes"	"O"	148619	19570261	759.4
"Total"	"New York"	"36"	"2012"	"2012"			169954	19570261	868.4
	"New York"	"36"	"2013"	"2013"	"Drug-induced causes"	"D"	18991	19651127	96.6
	"New York"	"36"	"2013"	"2013"	"Alcohol-induced causes"	"A"	2973	19651127	15.1
	"New York"	"36"	"2013"	"2013"	"All other non-drug and non-alcohol causes"	"O"	150503	19651127	765.9
"Total"	"New York"	"36"	"2013"	"2013"			172467	19651127	877.6
	"New York"	"36"	"2014"	"2014"	"Drug-induced causes"	"D"	19071	19746227	96.6
	"New York"	"36"	"2014"	"2014"	"Alcohol-induced causes"	"A"	2872	19746227	14.5
	"New York"	"36"	"2014"	"2014"	"All other non-drug and non-alcohol causes"	"O"	149536	19746227	757.3
"Total"	"New York"	"36"	"2014"	"2014"			171479	19746227	868.4
	"New York"	"36"	"2015"	"2015"	"Drug-induced causes"	"D"	19868	19795791	100.4
	"New York"	"36"	"2015"	"2015"	"Alcohol-induced causes"	"A"	3038	19795791	15.3
	"New York"	"36"	"2015"	"2015"	"All other non-drug and non-alcohol causes"	"O"	153171	19795791	773.8
"Total"	"New York"	"36"	"2015"	"2015"			176077	19795791	889.5
	"New York"	"36"	"2016"	"2016"	"Drug-induced causes"	"D"	20651	19745289	104.6
	"New York"	"36"	"2016"	"2016"	"Alcohol-induced causes"	"A"	3364	19745289	17.0
	"New York"	"36"	"2016"	"2016"	"All other non-drug and non-alcohol causes"	"O"	153868	19745289	779.3
"Total"	"New York"	"36"	"2016"	"2016"			177883	19745289	900.9
	"New York"	"36"	"2017"	"2017"	"Drug-induced causes"	"D"	20664	19849399	104.1
	"New York"	"36"	"2017"	"2017"	"Alcohol-induced causes"	"A"	3509	19849399	17.7
	"New York"	"36"	"2017"	"2017"	"All other non-drug and non-alcohol causes"	"O"	154906	19849399	780.4
"Total"	"New York"	"36"	"2017"	"2017"			179079	19849399	902.2
	"New York"	"36"	"2018"	"2018"	"Drug-induced causes"	"D"	21173	19542209	108.3
	"New York"	"36"	"2018"	"2018"	"Alcohol-induced causes"	"A"	3568	19542209	18.3
	"New York"	"36"	"2018"	"2018"	"All other non-drug and non-alcohol causes"	"O"	156639	19542209	801.5
"Total"	"New York"	"36"	"2018"	"2018"			181380	19542209	928.1
"Total"	"New York"	"36"					3398234	387060006	878.0
	"North Carolina"	"37"	"1999"	"1999"	"Drug-induced causes"	"D"	1349	7949361	17.0
	"North Carolina"	"37"	"1999"	"1999"	"Alcohol-induced causes"	"A"	1462	7949361	18.4
	"North Carolina"	"37"	"1999"	"1999"	"All other non-drug and non-alcohol causes"	"O"	69441	7949361	873.5
"Total"	"North Carolina"	"37"	"1999"	"1999"			72252	7949361	908.9
	"North Carolina"	"37"	"2000"	"2000"	"Drug-induced causes"	"D"	2168	8049313	26.9
	"North Carolina"	"37"	"2000"	"2000"	"Alcohol-induced causes"	"A"	1646	8049313	20.4
	"North Carolina"	"37"	"2000"	"2000"	"All other non-drug and non-alcohol causes"	"O"	71810	8049313	892.1
"Total"	"North Carolina"	"37"	"2000"	"2000"			75624	8049313	939.5
	"North Carolina"	"37"	"2001"	"2001"	"Drug-induced causes"	"D"	2141	8210122	26.1
	"North Carolina"	"37"	"2001"	"2001"	"Alcohol-induced causes"	"A"	1496	8210122	18.2
	"North Carolina"	"37"	"2001"	"2001"	"All other non-drug and non-alcohol causes"	"O"	70818	8210122	862.6
"Total"	"North Carolina"	"37"	"2001"	"2001"			74455	8210122	906.9
	"North Carolina"	"37"	"2002"	"2002"	"Drug-induced causes"	"D"	2360	8326201	28.3
	"North Carolina"	"37"	"2002"	"2002"	"Alcohol-induced causes"	"A"	1579	8326201	19.0
	"North Carolina"	"37"	"2002"	"2002"	"All other non-drug and non-alcohol causes"	"O"	71897	8326201	863.5
"Total"	"North Carolina"	"37"	"2002"	"2002"			75836	8326201	910.8
	"North Carolina"	"37"	"2003"	"2003"	"Drug-induced causes"	"D"	2700	8422501	32.1
	"North Carolina"	"37"	"2003"	"2003"	"Alcohol-induced causes"	"A"	1555	8422501	18.5
	"North Carolina"	"37"	"2003"	"2003"	"All other non-drug and non-alcohol causes"	"O"	73321	8422501	870.5
"Total"	"North Carolina"	"37"	"2003"	"2003"			77576	8422501	921.1
	"North Carolina"	"37"	"2004"	"2004"	"Drug-induced causes"	"D"	2823	8553152	33.0
	"North Carolina"	"37"	"2004"	"2004"	"Alcohol-induced causes"	"A"	1589	8553152	18.6
	"North Carolina"	"37"	"2004"	"2004"	"All other non-drug and non-alcohol causes"	"O"	72203	8553152	844.2
"Total"	"North Carolina"	"37"	"2004"	"2004"			76615	8553152	895.8
